код;название;код родит. системы;комментарий
27-53-00;СИСТЕМА МЕХАНИЧЕСКОЙ ТРАНСМИССИИ ЗАКРЫЛКОВ;27-00-00;
27-60-00;УПРАВЛЕНИЕ ИНТЕРЦЕПТОРАМИ И ТОРМОЗНЫМИ ЩИТКАМИ;27-00-00;
27-81-00;УПРАВЛЕНИЕ ПРЕДКРЫЛКАМИ;27-00-00;
27-92-00;ЭЛЕКТРОННАЯ СИСТЕМА УПРАВЛЕНИЯ САМОЛЕТОМ;27-00-00;
28-11-00;ТОПЛИВНЫЕ БАКИ;28-00-00;
28-12-00;ДРЕНАЖНАЯ СИСТЕМА ТОПЛИВНЫХ БАКОВ;28-00-00;
28-21-00;СИСТЕМА ЗАПРАВКИ ТОПЛИВОМ;28-00-00;
28-22-00;СИСТЕМА ПОДКАЧКИ ТОПЛИВА;28-00-00;
28-24-00;СИСТЕМА КОЛЬЦЕВАНИЯ ТОПЛИВА;28-00-00;
28-26-00;СИСТЕМА СЛИВА ТОПЛИВА НА ЗЕМЛЕ;28-00-00;
28-41-00;СИСТЕМА УПРАВЛЕНИЯ И ИЗМЕРЕНИЯ ТОПЛИВА;28-00-00;
28-41-10;ДОПОЛНИТЕЛЬНАЯ ТОПЛИВНАЯ СИСТЕМА;28-00-00;
28-43-00;УПРАВЛЕНИЕ ТОПЛИВНОЙ СИСТЕМОЙ;28-00-00;
29-10-00;ОСНОВНАЯ СИСТЕМА;29-00-00;
29-11-00;ГИДРОСИСТЕМА 1 (ГС1);29-00-00;
29-12-00;ГИДРОСИСТЕМА 2 (ГС2);29-00-00;
29-13-00;ГИДРОСИСТЕМА 3 (ГС3);29-00-00;
29-21-00;АВАРИЙНАЯ ГИДРОСИСТЕМА;29-00-00;
29-22-00;СИСТЕМА ПЕРЕДАЧИ МОЩНОСТИ;29-00-00;
29-31-00;СИСТЕМА КОНТРОЛЯ УРОВНЯ ГИДРОЖИДКОСТИ;29-00-00;
29-32-00;СИСТЕМА КОНТРОЛЯ ДАВЛЕНИЯ;29-00-00;
29-33-00;СИСТЕМА СИГНАЛИЗАЦИИ ДАВЛЕНИЯ;29-00-00;
29-34-00;СИСТЕМА КОНТРОЛЯ ТЕМПЕРАТУРЫ;29-00-00;
30-11-00;ПРОТИВООБЛЕДЕНИТЕЛЬНАЯ СИСТЕМА КРЫЛА;30-00-00;
30-21-00;ПРОТИВООБЛЕДЕНИТЕЛЬНАЯ СИСТЕМА ВОЗДУХОЗАБОРНИКА ДВИГАТЕЛЯ;30-00-00;
30-31-00;СИСТЕМА ОБОГРЕВА ПРИЕМНИКОВ ПОЛНОГО И СТАТИЧЕСКОГО ДАВЛЕНИЙ;30-00-00;
30-41-00;СИСТЕМА ОБОГРЕВА ОСТЕКЛЕНИЯ КАБИНЫ ЭКИПАЖА;30-00-00;
30-42-00;СТЕКЛООЧИСТИТЕЛИ;30-00-00;
30-43-00;СИСТЕМА ПОДАЧИ ГИДРОФОБИЗИРУЮЩЕЙ ЖИДКОСТИ НА ЛОБОВЫЕ СТЕКЛА;30-00-00;
30-80-00;СИГНАЛИЗАТОРЫ ОБЛЕДЕНЕНИЯ;30-00-00;
30-91-00;СИСТЕМА ОБОГРЕВА КОМПОНЕНТОВ СИСТЕМЫ УПРАВЛЕНИЯ САМОЛЁТОМ;30-00-00;
30-92-00;СИСТЕМА ОБОГРЕВА ЭЛЕМЕНТОВ МЕХАНИЗМОВ ДВЕРЕЙ И ЛЮКОВ;30-00-00;
31-11-00;ПОТОЛОЧНЫЙ ПУЛЬТ;31-00-00;
31-31-00;СИСТЕМА РЕГИСТРАЦИИ ПАРАМЕТРИЧЕСКОЙ ИНФОРМАЦИИ;31-00-00;
31-32-00;ПЕЧАТАЮЩИЕ УСТРОЙСТВА;31-00-00;
31-41-00;СИСТЕМА ЦЕНТРАЛЬНОГО ВЫЧИСЛИТЕЛЯ;31-00-00;
31-43-00;БЛОК-КОНЦЕНТРАТОР ДАННЫХ;31-00-00;
31-51-00;ЦЕНТРАЛЬНЫЕ СИСТЕМЫ ПРЕДУПРЕДИТЕЛЬНОЙ СИГНАЛИЗАЦИИ;31-00-00;
31-61-00;СИСТЕМА ЭЛЕКТРОННОЙ ИНДИКАЦИИ КАБИНЫ ЭКИПАЖА;31-00-00;
31-61-01;СИСТЕМА ЭЛЕКТРОННОЙ ИНДИКАЦИИ КАБИНЫ ЭКИПАЖА;31-00-00;
31-71-00;СИСТЕМЫ СБОРА И ПЕРЕДАЧИ ДАННЫХ;31-00-00;
32-30-00;СИСТЕМА УБОРКИ И ВЫПУСКА ШАССИ И УПРАВЛЕНИЯ СТВОРКАМИ;32-00-00;
32-41-00;ОСНОВНАЯ ТОРМОЗНАЯ СИСТЕМА;32-00-00;
32-51-00;СИСТЕМА УПРАВЛЕНИЯ ПОВОРОТОМ КОЛЕС ПЕРЕДНЕЙ ОПОРЫ ШАССИ;32-00-00;
32-60-00;УКАЗАТЕЛИ И СИГНАЛИЗАТОРЫ ПОЛОЖЕНИЯ ШАССИ И СТВОРОК;32-00-00;
33-11-00;ОБЩЕЕ ОСВЕЩЕНИЕ;33-00-00;
33-12-00;ЗАЛИВАЮЩЕЕ ОСВЕЩЕНИЕ;33-00-00;
33-13-00;ВСПОМОГАТЕЛЬНОЕ ОСВЕЩЕНИЕ;33-00-00;
33-14-00;ВСТРОЕННОЕ ОСВЕЩЕНИЕ;33-00-00;
33-21-00;ОБЩЕЕ ОСВЕЩЕНИЕ;33-00-00;
33-22-00;ОСВЕЩЕНИЕ ВЕСТИБЮЛЕЙ;33-00-00;
33-24-00;ОСВЕЩЕНИЕ ТУАЛЕТОВ;33-00-00;
33-25-00;ИНДИВИДУАЛЬНОЕ ОСВЕЩЕНИЕ ДЛЯ ПАССАЖИРОВ;33-00-00;
33-26-00;СВЕТОВЫЕ ТАБЛО ДЛЯ ПАССАЖИРОВ;33-00-00;
33-27-00;ОСВЕЩЕНИЕ РАБОЧИХ МЕСТ БОРТПРОВОДНИКОВ;33-00-00;
33-28-00;ОСВЕЩЕНИЕ РАБОЧЕЙ ЗОНЫ КУХНИ;33-00-00;
