number;content
24-20-00-810-896;Электропроводка
24-20-00-810-896;Блок управления генератором левый (6-Х242)
24-20-00-810-897;Электропроводка
24-20-00-810-897;Блок управления генератором левый (6-Х242)
24-20-00-810-898;Электропроводка
24-20-00-810-898;Контактор K6-28 (K2)
24-20-00-810-898;Блок управления генератором правый (7-Х242)
24-20-00-810-899;Блок управления генератором правый (7-Х242)
24-20-00-810-900;Блок управления генератором правый (7-Х242)
24-20-00-810-901;Электропроводка
24-20-00-810-901;Контактор K6-28 (K2)
24-20-00-810-901;Блок управления генератором правый (7-Х242)
24-20-00-810-902;Электропроводка
24-20-00-810-902;Кнопка-табло R GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-902;Блок управления генератором правый (7-Х242)
24-20-00-810-903;Электропроводка
24-20-00-810-903;Кнопка-табло R GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-903;Блок управления генератором правый (7-Х242)
24-20-00-810-904;Блок управления генератором правый (7-Х242)
24-20-00-810-905;Блок управления генератором правый (7-Х242)
24-20-00-810-907;Блок управления генератором правый (7-Х242)
24-20-00-810-908;Электропроводка
24-20-00-810-908;Блок управления генератором правый (7-Х242)
24-20-00-810-908;Привод-генератор правый (16-X242)
24-20-00-810-909;Электропроводка
24-20-00-810-909;Сервоклапан привод-генератора правого (16-Х242)
24-20-00-810-909;Блок управления генератором правый (7-Х242)
24-20-00-810-910;Блок управления генератором правый (7-Х242)
24-20-00-810-911;Электропроводка
24-20-00-810-911;Блок-концентратор данных (4-T314)
24-20-00-810-911;Блок управления генератором правый (7-Х242)
24-20-00-810-912;Блок управления генератором правый (7-Х242)
24-20-00-810-913;Блок управления генератором правый (7-Х242)
24-20-00-810-914;Электропроводка
24-20-00-810-914;Блок-концентратор данных (4-T314)
24-20-00-810-914;Блок управления генератором правый (7-Х242)
24-20-00-810-915;Привод-генератор правый (16-X242)
24-20-00-810-915;Блок управления генератором правый (7-Х242)
24-20-00-810-916;Привод-генератор правый (16-X242)
24-20-00-810-916;Блок управления генератором правый (7-Х242)
24-20-00-810-917;Низкий уровень масла в привод-генераторе правом (16-X242), внешние протечки
24-20-00-810-918;Масляная система привод-генератора правого (16-Х242)
24-20-00-810-918;Привод-генератор правый (16-Х242)
24-20-00-810-919;Электропроводка
24-20-00-810-919;Кнопка-табло под колпачком R GEN – DRIVE OFF
24-20-00-810-919;Блок управления генератором правый (7-Х242)
24-20-00-810-920;Электропроводка
24-20-00-810-920;Кнопка-табло R DRIVE на центральной части потолочного пульта (5-F311)
24-20-00-810-920;Блок управления генератором правый (7-Х242)
24-20-00-810-921;Электропроводка
24-20-00-810-921;Привод-генератор правый (16-X242)
24-20-00-810-921;Блок управления генератором правый (7-Х242)
24-20-00-810-922;Низкий уровень масла в привод-генераторе правом (16-X242), внешние утечки масла впривод-генераторе и/или во внешней цепи охлаждения
24-20-00-810-923;Электропроводка
24-20-00-810-923;Кнопка-табло R GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-923;Блок управления генератором правый (7-Х242)
24-20-00-810-924;Электропроводка
24-20-00-810-924;Кнопка-табло R GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-924;Блок управления генератором правый (7-Х242)
24-20-00-810-925;Электропроводка
24-20-00-810-925;Кнопка-табло R GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-925;Блок управления генератором правый (7-Х242)
24-20-00-810-926;Электропроводка
24-20-00-810-926;Кнопка-табло R DRIVE на центральной части потолочного пульта (5-F311)
24-20-00-810-926;Блок управления генератором правый (7-Х242)
24-20-00-810-927;Блок управления генератором правый (7-Х242)
24-20-00-810-928;Блок управления генератором правый (7-Х242)
24-20-00-810-929;Электропроводка
24-20-00-810-929;Блок управления генератором правый (7-Х242)
24-20-00-810-930;Электропроводка
24-20-00-810-930;Блок управления генератором правый (7-Х242)
24-20-00-810-931;Электропроводка
24-20-00-810-931;Кнопка-табло R GEN на центральной части потолочного пульта (5-F311)
24-20-00-810-931;Блок управления генератором правый (7-Х242)
24-20-00-810-932;Блок управления генератором правый (7-Х242)
24-20-00-810-933;Блок управления генератором правый (7-Х242)
24-20-00-810-934;Блок управления генератором правый (7-Х242)
24-20-00-810-935;Блок управления генератором правый (7-Х242)
24-20-00-810-936;Электропроводка
24-20-00-810-936;Блок управления генератором правый (7-Х242)
24-20-00-810-937;Блок управления генератором правый (7-Х242)
24-20-00-810-938;Блок управления генератором правый (7-Х242)
24-20-00-810-939;Электропроводка
24-20-00-810-939;Блок управления генератором правый (7-Х242)
24-20-00-810-939;Привод-генератор правый (16-X242)
24-20-00-810-940;Электропроводка
24-20-00-810-940;Блок управления генератором правый (7-Х242)
24-20-00-810-941;Блок управления генератором правый (7-Х242)
24-20-00-810-942;Электропроводка
24-20-00-810-942;Привод-генератор правый (16-X242)
24-20-00-810-942;Блок управления генератором правый (7-Х242)
24-20-00-810-943;Электропроводка
24-20-00-810-943;Привод-генератор правый (16-X242)
24-20-00-810-943;Блок управления генератором правый (7-Х242)
24-20-00-810-944;Электропроводка
24-20-00-810-944;Привод-генератор правый (16-X242)
24-20-00-810-944;Блок управления генератором правый (7-Х242)
24-20-00-810-945;Блок управления генератором правый (7-Х242)
24-20-00-810-946;Электропроводка
24-20-00-810-946;Привод-генератор правый (16-Х242)
24-20-00-810-947;Электропроводка
24-20-00-810-947;Блок управления генератором правый (7-X242)
24-20-00-810-948;Электропроводка
24-20-00-810-948;Блок управления генератором правый (7-X242)
24-20-00-810-949;Электропроводка
24-20-00-810-949;Привод-генератор правый (16-X242)
24-20-00-810-950;Электропроводка
24-20-00-810-950;Привод-генератор правый (16-X242)
24-20-00-810-950;Блок управления генератором правый (7-X242)
24-20-00-810-951;Электропроводка
24-20-00-810-951;Блок управления генератором правый (7-X242)
24-20-00-810-952;Электропроводка
24-20-00-810-952;Блок управления генератором правый (7-X242)
24-20-00-810-952;Привод-генератор правый (16-X242)
24-20-00-810-953;Блок управления генератором правый (7-X242)
24-20-00-810-954;Блок управления генератором правый (7-X242)
24-20-00-810-955;Электропроводка
24-20-00-810-955;Сервоклапан в привод-генераторе правом (16-X242)
24-20-00-810-955;Блок управления генератором правый (7-X242)
24-20-00-810-956;Блок управления генератором правый (7-X242)
24-20-00-810-956;Привод-генератор правый (16-X242)
24-20-00-810-957;Электропроводка
24-20-00-810-957;Привод-генератор правый (16-X242)
24-20-00-810-957;Блок управления генератором правый (7-X242)
24-20-00-810-958;Блок управления генератором правый (7-X242)
24-20-00-810-959;Электропроводка
24-20-00-810-959;Сервоклапан привод-генератора правого (16-X242)
24-20-00-810-959;Блок управления генератором правый (7-X242)
24-20-00-810-960;Сервоклапан привод-генератора правого (16-X242)
24-20-00-810-961;Сервоклапан привод-генератора правого (16-X242)
24-20-00-810-962;Электропроводка
24-20-00-810-962;Сервоклапан привод-генератора правого (16-X242)
24-20-00-810-962;Блок управления генератором правый (7-X242)
24-20-00-810-963;Блок управления генератором правый (7-X242)
24-20-00-810-964;Блок-концентратор данных (4-T314)
24-20-00-810-964;Привод-генератор правый (16-X242)
24-20-00-810-965;Блок управления генератором правый (7-X242)
24-20-00-810-966;Привод-генератор правый (16-X242)
24-20-00-810-967;Блок управления генератором правый (7-X242)
24-20-00-810-968;Электропроводка
24-20-00-810-968;Привод-генератор правый (16-X242)
24-20-00-810-968;Блок управления генератором правый (7-X242)
24-20-00-810-969;Электропроводка
24-20-00-810-969;Блок трансформаторов тока (102-X242)
24-20-00-810-969;Привод-генератор правый (16-X242)
24-20-00-810-969;Блок управления генератором правый (7-X242)
24-20-00-810-970;Электропроводка
24-20-00-810-971;Блок управления генератором правый (7-Х242)
24-20-00-810-972;Отказ главной шины
24-20-00-810-973;Электропроводка
24-20-00-810-973;Блок управления генератором правый (7-X242)
24-20-00-810-974;Привод-генератор правый (16-X242)
24-20-00-810-974;Блок управления генератором правый (7-X242)
24-20-00-810-975;Отключен вручную привод-генератор правый (16-X242)
24-20-00-810-976;Электропроводка
24-20-00-810-976;Реле расцепителя привода К2-15
24-20-00-810-976;Привод-генератор правый (16-X242)
24-20-00-810-976;Блок управления генератором правый (7-X242)
24-20-00-810-977;Электропроводка
24-20-00-810-978;Электропроводка
24-20-00-810-979;Электропроводка
24-20-00-810-980;Подача или перерыв электропитания
24-20-00-810-980;Блок управления генератором правый (7-X242)
24-20-00-810-981;Электропроводка
24-20-00-810-981;Блок управления генератором правый (7-X242)
24-20-00-810-982;Электропроводка
24-20-00-810-982;Блок управления генератором правый (7-X242)
24-20-00-810-983;Электропроводка
