Номер подработы,Обозначение,Фраза,Номер работы,Название,Порядок работ,Результат,Условие выполнения,Причины
24-20-00-810-822-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-822,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-822-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-822,Поиск и устранение неисправности:,,,,
24-20-00-810-822-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-822,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Цепь определения состояния выхода выдачи предупреждения отказа привод‐генератора левого двигателя ошибочно активна,,,,,,,,
24-20-00-810-823-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-823,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-823-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-823,Поиск и устранение неисправности:,,,,
24-20-00-810-823-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-823,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Отказ сигнализатора давления масла привод‐генератора левого двигателя или цепи сигнализатора давления,,,,,,,,
24-20-00-810-824-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-824,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-824-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-824,Поиск и устранение неисправности:,,,,
24-20-00-810-824-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-824,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Низкое давление масла привод‐генератора левого двигателя,,,,,,,,
24-20-00-810-825-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-825,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-825-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-825,Поиск и устранение неисправности:,,,,
24-20-00-810-825-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-825,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/ *Выход выдачи предупреждения отказа генератора левого двигателя ошибочно активен,,,,,,,,
24-20-00-810-826-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-826,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
24-20-00-810-826-5,5,Выполните работы по поиску и устранению неисправности,24-20-00-810-826,Поиск и устранение неисправности:,,,,
24-20-00-810-826-6,6,Выполните работы по подтверждению устранения неисправности,24-20-00-810-826,Подтверждение устранения неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
,,,,,,,,
/*Система электроснабжения - 24,,,,,,,,
/*Статус сигнала отключения привод‐генератора левого двигателя ошибочно не активен,,,,,,,,
24-20-00-810-828-4,4,Выполните работы по подтверждению неисправности,24-20-00-810-828,Подтверждение неисправности,,Неисправность обнаружена / Неисправность не обнаружена,,
